da_key,en,uk,ar,fa,ur,pl,de
"Social- og sundhedsassistent","Social and healthcare associate","Соціальний працівник з охорони здоров'я","مساعد اجتماعي وصحي","دستیار اجتماعی و سلامت","سوشل اور ہیلتھ کیئر ایسوسی ایٹ","Współpracownik socjalny i zdrowotny","Sozial- und Gesundheitsmitarbeiter"
"Social- og sundhedsassistentelev","Social and healthcare associate trainee","Стажист з питань соціальної та охорони здоров'я","متدرب مساعد اجتماعي وصحي","کارآموز دستیار اجتماعی و سلامت","ٹرینی سوشل اور ہیلتھ کیئر ایسوسی ایٹ","Stażysta w zakresie opieki społecznej i zdrowotnej","Praktikant im Sozial- und Gesundheitswesen"
"Social- og sundhedshjælper","Social and healthcare assistant","Соціально-медичний помічник","معاون اجتماعي وصحي","دستیار اجتماعی و بهداشتی","سوشل اور ہیلتھ کیئر اسسٹنٹ","Asystent socjalny i medyczny","Sozial- und Gesundheitsassistent"
"Social- og sundhedshjælperelev","Social and healthcare assistant trainee","Стажер соціального та медичного працівника","متدرب معاون اجتماعي وصحي","کارآموز دستیار اجتماعی و بهداشتی","ٹرینی سوشل اور ہیلتھ کیئر اسسٹنٹ","Stażysta Asystenta Opieki Społecznej i Opieki Zdrowotnej","Auszubildender zum Sozial- und Gesundheitsassistenten"
"Socialpædagog","Social pedagogue","Соціальний педагог","تربوي اجتماعي","مددکار تربیتی اجتماعی","سوشل پیڈاگوج","Pedagog społeczny","Sozialpädagoge"
"Socialrådgiver","Social worker","Соціальний працівник","باحث اجتماعي","مددکار اجتماعی","سوشل ورکر","Pracownik socjalny","Sozialarbeiter"
"Socialrådgivning mv.","Social work and related roles","Соціальна робота та пов'язані з нею ролі","الاستشارات الاجتماعية وما شابهها","کار اجتماعی و مشاغل مرتبط","سماجی مشاورت وغیرہ","Praca socjalna i role z nią związane","Soziale Arbeit und verwandte Rollen"
"Specialarbejder, jord og beton","Construction worker, earth and concrete","Будівельник, земля та бетон","عامل متخصص في الخرسانة والتربة","کارگر ساخت‌وساز، خاک و بتن","کنکریٹ اور مٹی کا ماہر ورکر","Pracownik budowlany, ziemia i beton","Bauarbeiter, Erde und Beton"
"Studentermedhjælp","Student assistant","Студент помічник","مساعد طالب","دستیار دانشجو","طالب علم معاون","Asystent studenta","Studentische Hilfskraft"
"Sundhed, omsorg og personlig pleje","Health, care, and personal support","Здоров'я, турбота та особиста підтримка","الصحة والرعاية والعناية الشخصية","سلامت، مراقبت و حمایت شخصی","صحت، نگہداشت اور ذاتی دیکھ بھال","Zdrowie, opieka i wsparcie osobiste","Gesundheit, Pflege und persönliche Betreuung"
"Sygepleje og jordemoderarbejde","Nursing and midwifery","Сестринська та акушерська справа","التمريض والقبالة","پرستاری و مامایی","نرسنگ اور مڈوائفری کا کام","Pielęgniarstwo i położnictwo","Krankenpflege und Hebammenwesen"
"Sygeplejerske","Nurse","Медсестра","ممرض / ممرضة","پرستار","نرس","Pielęgniarka","Krankenschwester"
"Sygeplejerske studerende","Nursing student","Студент медсестри","طالب تمريض","دانشجوی پرستاری","نرسنگ کا طالب علم","Studentka pielęgniarstwa","Krankenpflegestudent"
"Teamleder","Team leader","Лідер групи","قائد فريق","سرپرست تیم","ٹیم لیڈر","Lider zespołu","Teamleiter"
"Tjener","Waiter","Офіціант","نادل","پیشخدمت","ویٹر","Kelner","Kellner"
"Transport, post, lager- og maskinførerarbejde","Transport, postal, warehouse, and machine operation","Експлуатація транспорту, пошти, складу та машин","النقل والبريد والمستودعات وتشغيل الآلات","حمل‌ونقل، پست، انبار و کار با ماشین‌آلات","نقل و حمل، ڈاک، گودام اور مشین آپریٹر","Transport, poczta, magazyn i obsługa maszyn","Transport, Post, Lager und Maschinenbetrieb"
"Truckfører","Forklift driver","Водій навантажувача","سائق شاحنة شوكية","راننده لیفتراک","فورک لفٹ ڈرائیور","Kierowca wózka widłowego","Gabelstaplerfahrer"
"Tværgående arbejde, bygge og anlæg","Cross-functional work in construction and civil works","Міжфункціональна робота в будівництві та цивільних роботах","أعمال مشتركة في البناء والهندسة المدنية","کار میان‌وظیفه‌ای در ساخت‌وساز و عمران","تعمیرات کے شعبے میں مشترکہ کام","Praca interdyscyplinarna w budownictwie i robotach budowlanych","Funktionsübergreifende Tätigkeit im Hoch- und Tiefbau"
"Tværgående arbejde, industriel produktion","Cross-functional work in industrial production","Міжфункціональна робота в промисловому виробництві","أعمال مشتركة في الإنتاج الصناعي","کار میان‌وظیفه‌ای در تولید صنعتی","صنعتی پیداوار میں مشترکہ کام","Praca interdyscyplinarna w produkcji przemysłowej","Funktionsübergreifendes Arbeiten in der industriellen Produktion"
"Tværgående arbejde, pædagogisk og socialt arbejde","Cross-functional pedagogical and social work","Міжфункціональна педагогічна та соціальна робота","أعمال تربوية واجتماعية مشتركة","کار میان‌وظیفه‌ای تربیتی و اجتماعی","تعلیمی اور سماجی شعبوں میں مشترکہ کام","Wielofunkcyjna praca pedagogiczna i socjalna","Funktionsübergreifende pädagogische und soziale Arbeit"
"Tværgående it-arbejde","Cross-functional IT work","Міжфункціональна ІТ робота","أعمال تقنية معلومات مشتركة","کار میان‌وظیفه‌ای فناوری اطلاعات","آئی ٹی کا مشترکہ کام","Wielofunkcyjna praca IT","Funktionsübergreifende IT-Arbeit"
"Tømrer","Carpenter","Столяр","نجار مباني","نجار","بڑھئی (کارپینٹر)","Stolarz","Tischler"
"Undervisning i grundskoler","Teaching in primary and lower secondary schools","Навчання в початкових і середніх школах","التدريس في المدارس الابتدائية","تدریس در دبستان و متوسطه اول","پرائمری اور سیکنڈری سکولوں میں تدریس","Nauczanie w szkołach podstawowych i gimnazjach","Unterricht an Grundschulen und weiterführenden Schulen"
"Undervisning og vejledning","Teaching and guidance","Навчання та керівництво","التدريس والإرشاد","تدریس و راهنمایی","تدریس اور رہنمائی","Nauczanie i przewodnictwo","Lehre und Anleitung"
"Undervisningsassistent, naturvidenskab og teknik","Teaching assistant, natural sciences and engineering","Асистент викладача природничих та технічних наук","مساعد تدريس في العلوم والهندسة","دستیار آموزشی در علوم طبیعی و مهندسی","ٹیچنگ اسسٹنٹ (سائنس اور انجینئرنگ)","Asystent nauk przyrodniczych i inżynierskich","Lehrassistent, Naturwissenschaften und Ingenieurwissenschaften"
"VVS-montør","Plumber","сантехнік","سباك (VVS)","لوله‌کش","پلمبر","Hydraulik","Klempner"
"Vagt","Security guard","Охоронець","حارس أمن","نگهبان","سیکیورٹی گارڈ","Ochroniarz","Wachmann"
"Vagt, sikkerhed og overvågning","Guarding, security, and surveillance","Охорона, охорона та спостереження","الحراسة والأمن والمراقبة","حراست، امنیت و نظارت","حفاظت، سیکیورٹی اور نگرانی","Ochrona, ochrona i nadzór","Bewachung, Sicherheit und Überwachung"
"Vejtransport","Road transport","Автомобільний транспорт","النقل البري","حمل‌ونقل جاده‌ای","سڑک کی نقل و حمل","Transport drogowy","Straßentransport"
"Visual merchandiser","Visual merchandiser","Візуальний мерчендайзер","منسق عرض بصري","مسئول چیدمان بصری فروشگاه","ویژول مرچنڈائزر","Sprzedawca wizualny","Visueller Merchandiser"
"Vvs og blik","Plumbing and sheet metal work","Сантехнічні та листові роботи","السباكة وأعمال الصفيح","لوله‌کشی و ورق‌کاری","پلمبنگ اور شیٹ میٹل کا کام","Prace hydrauliczne i blacharskie","Klempner- und Blecharbeiten"
"Vært/Værtinde","Host/hostess","Господар/господиня","مضيف / مضيفة","میزبان","میزبان (ہوسٹ/ہوسٹیس)","Gospodarz/gospodyni","Gastgeber/Gastgeberin"
"Økonomi og revision","Finance and auditing","Фінанси та аудит","المالية والمراجعة","مالی و حسابرسی","معیشت اور آڈٹ","Finanse i audyt","Finanzen und Wirtschaftsprüfung"
"Øvrig undervisning","Other teaching","Інше навчання","تدريس آخر","سایر آموزش","دیگر تدریس","Inne nauczanie","Anderer Unterricht"
"Øvrigt hospitalsarbejde","Other hospital work","Інші лікарняні роботи","أعمال مستشفى أخرى","سایر کارهای بیمارستانی","ہسپتال کا دیگر کام","Inna praca w szpitalu","Sonstige Krankenhausarbeiten"
"Øvrigt hotel-, køkken- og husholdningsarbejde","Other hotel, kitchen, and household work","Інші роботи в готелі, кухні та по дому","أعمال فندقية ومطبخية ومنزلية أخرى","سایر کارهای هتل، آشپزخانه و خانه‌داری","ہوٹل، کچن اور گھریلو کام","Inne prace hotelowe, kuchenne i domowe","Sonstige Hotel-, Küchen- und Haushaltsarbeiten"
